reviews,overall_satisfaction,has_satisfaction,has_reviews,accommodates,bathrooms,bedrooms,address_length,room_type,log_price,price_capped
101,5.0,1,1,6,2.0,2.0,26,Entire home/apt,5.117993812416755,166.0
28,5.0,1,1,16,3.0,6.0,26,Entire home/apt,5.860786223465865,350.0
193,5.0,1,1,2,1.0,1.0,26,Private room,4.02535169073515,55.0
43,5.0,1,1,16,2.5,6.0,26,Entire home/apt,6.16541785423142,475.0
141,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.787491742782046,119.0
210,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.394449154672439,80.0
234,5.0,1,1,2,1.0,1.0,26,Private room,4.23410650459726,68.0
124,5.0,1,1,4,1.0,2.0,26,Entire home/apt,4.624972813284271,101.0
48,4.5,1,1,4,2.0,2.0,26,Entire home/apt,5.017279836814924,150.0
13,5.0,1,1,2,1.0,1.0,26,Private room,4.330733340286331,75.0
0,5.0,0,0,7,4.0,3.0,26,Entire home/apt,5.389071729816501,218.0
138,5.0,1,1,5,1.0,2.0,26,Entire home/apt,4.836281906951478,125.0
69,5.0,1,1,2,1.0,1.0,27,Entire home/apt,4.605170185988092,99.0
46,5.0,1,1,8,2.5,3.0,26,Entire home/apt,5.438079308923196,229.0
93,5.0,1,1,8,3.0,3.0,26,Entire home/apt,5.513428746164983,247.0
33,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.836281906951478,125.0
96,5.0,1,1,2,1.0,1.0,26,Private room,4.394449154672439,80.0
178,5.0,1,1,2,1.0,1.0,26,Private room,3.9318256327243257,50.0
2,5.0,0,1,6,2.0,3.0,26,Entire home/apt,5.278114659230517,195.0
244,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.605170185988092,99.0
261,5.0,1,1,3,1.0,1.0,26,Private room,4.262679877041316,70.0
114,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.343805421853684,76.0
10,4.5,1,1,1,1.0,1.0,26,Private room,3.4339872044851463,30.0
275,4.5,1,1,3,1.0,1.0,26,Entire home/apt,4.262679877041316,70.0
298,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
158,5.0,1,1,2,4.0,1.0,26,Private room,3.9889840465642745,53.0
141,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
163,5.0,1,1,4,1.0,0.0,26,Entire home/apt,4.5217885770490405,91.0
22,5.0,1,1,2,2.0,1.0,26,Private room,3.828641396489095,45.0
18,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.912654885736052,135.0
26,5.0,1,1,2,2.0,1.0,26,Private room,3.828641396489095,45.0
398,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
7,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.010635294096256,149.0
18,4.5,1,1,6,1.0,3.0,26,Entire home/apt,5.62040086571715,275.0
336,5.0,1,1,2,1.0,1.0,26,Private room,4.5217885770490405,91.0
110,4.5,1,1,2,1.0,1.0,26,Private room,3.737669618283368,41.0
230,4.5,1,1,2,1.0,1.0,26,Private room,3.871201010907891,47.0
302,4.5,1,1,4,1.0,2.0,26,Entire home/apt,4.262679877041316,70.0
89,5.0,1,1,2,4.0,1.0,26,Private room,3.970291913552122,52.0
125,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.02535169073515,55.0
113,5.0,1,1,2,2.0,3.0,27,Entire home/apt,4.61512051684126,100.0
142,5.0,1,1,2,3.0,1.0,26,Private room,3.9318256327243257,50.0
45,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.499809670330265,89.0
13,5.0,1,1,1,1.0,1.0,26,Private room,4.382026634673881,79.0
1,5.0,0,1,4,1.0,1.0,26,Entire home/apt,5.351858133476067,210.0
137,4.5,1,1,14,3.0,5.0,26,Entire home/apt,5.521460917862246,249.0
2,5.0,0,1,4,1.0,2.0,26,Entire home/apt,5.62040086571715,275.0
13,5.0,1,1,6,1.0,2.0,26,Entire home/apt,5.69035945432406,295.0
22,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.51085950651685,90.0
451,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.454347296253507,85.0
40,4.0,1,1,9,2.0,3.0,26,Entire home/apt,4.7535901911063645,115.0
73,5.0,1,1,2,1.0,1.0,26,Private room,4.394449154672439,80.0
145,5.0,1,1,2,1.0,1.0,26,Private room,4.382026634673881,79.0
28,4.0,1,1,3,1.0,0.0,26,Entire home/apt,4.499809670330265,89.0
97,5.0,1,1,8,1.0,3.0,26,Entire home/apt,5.484796933490655,240.0
13,4.5,1,1,8,3.0,4.0,26,Entire home/apt,5.525452939131784,250.0
230,5.0,1,1,1,3.0,1.0,26,Private room,3.912023005428146,49.0
74,4.5,1,1,4,1.0,1.0,26,Entire home/apt,5.111987788356544,165.0
3,3.5,1,1,4,1.0,1.0,26,Entire home/apt,4.948759890378168,140.0
39,5.0,1,1,2,1.0,1.0,26,Private room,3.555348061489413,34.0
7,5.0,1,1,6,2.5,2.0,26,Entire home/apt,5.5053315359323625,245.0
233,5.0,1,1,1,1.0,1.0,26,Private room,3.7612001156935615,42.0
83,4.5,1,1,2,3.0,1.0,26,Private room,4.189654742026425,65.0
53,5.0,1,1,6,1.0,2.0,26,Entire home/apt,4.59511985013459,98.0
28,5.0,1,1,2,1.0,1.0,26,Private room,4.110873864173311,60.0
10,5.0,1,1,2,1.0,1.0,26,Private room,4.836281906951478,125.0
223,5.0,1,1,2,1.0,1.0,26,Private room,4.564348191467836,95.0
140,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.170483995038151,175.0
226,5.0,1,1,5,1.0,2.0,26,Entire home/apt,4.875197323201151,130.0
389,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.584967478670572,97.0
69,5.0,1,1,8,2.5,3.0,26,Entire home/apt,5.545177444479562,255.0
120,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.5217885770490405,91.0
19,4.5,1,1,6,2.0,2.0,26,Entire home/apt,5.298317366548036,199.0
5,5.0,1,1,4,3.0,2.0,26,Entire home/apt,5.225746673713202,185.0
55,5.0,1,1,6,1.0,2.0,26,Entire home/apt,5.170483995038151,175.0
50,4.5,1,1,1,1.0,1.0,26,Entire home/apt,5.049856007249537,155.0
103,5.0,1,1,3,1.0,0.0,26,Entire home/apt,4.51085950651685,90.0
190,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.117993812416755,166.0
84,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.406719247264253,81.0
127,5.0,1,1,4,2.0,2.0,26,Entire home/apt,4.663439094112067,105.0
80,5.0,1,1,2,1.0,1.0,26,Private room,4.418840607796598,82.0
261,5.0,1,1,10,2.5,4.0,26,Entire home/apt,5.525452939131784,250.0
36,5.0,1,1,3,2.5,1.0,26,Entire home/apt,5.303304908059076,200.0
386,5.0,1,1,2,1.0,0.0,26,Entire home/apt,4.204692619390966,66.0
14,5.0,1,1,6,3.0,2.0,26,Entire home/apt,5.62040086571715,275.0
6,4.5,1,1,10,3.5,5.0,26,Entire home/apt,5.993961427306569,400.0
27,5.0,1,1,2,1.5,1.0,26,Private room,4.23410650459726,68.0
111,5.0,1,1,4,1.0,1.0,26,Entire home/apt,5.010635294096256,149.0
11,5.0,1,1,8,1.0,3.0,26,Entire home/apt,5.525452939131784,250.0
247,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.110873864173311,60.0
138,5.0,1,1,1,1.0,1.0,27,Private room,4.48863636973214,88.0
169,5.0,1,1,2,1.0,1.0,26,Private room,3.9318256327243257,50.0
154,5.0,1,1,2,1.0,1.0,26,Private room,3.7612001156935615,42.0
39,5.0,1,1,1,1.0,1.0,26,Private room,3.9318256327243257,50.0
14,5.0,1,1,6,1.5,3.0,26,Entire home/apt,5.525452939131784,250.0
63,5.0,1,1,6,2.0,2.0,26,Entire home/apt,4.976733742420574,144.0
182,4.5,1,1,8,1.0,2.0,26,Entire home/apt,4.248495242049359,69.0
46,4.5,1,1,5,1.0,2.0,26,Entire home/apt,5.10594547390058,164.0
28,5.0,1,1,8,2.0,2.0,26,Entire home/apt,5.017279836814924,150.0
99,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.418840607796598,82.0
60,5.0,1,1,2,1.0,1.0,26,Private room,3.713572066704308,40.0
0,5.0,0,0,4,1.5,1.0,26,Entire home/apt,5.303304908059076,200.0
131,5.0,1,1,2,1.0,1.0,27,Entire home/apt,5.081404364984463,160.0
62,5.0,1,1,2,1.5,1.0,26,Private room,4.110873864173311,60.0
68,5.0,1,1,2,1.5,1.0,26,Private room,4.110873864173311,60.0
0,5.0,0,0,8,4.0,4.0,32,Entire home/apt,6.2166061010848646,500.0
89,5.0,1,1,6,2.5,2.0,26,Entire home/apt,5.153291594497779,172.0
56,5.0,1,1,7,2.0,2.0,26,Entire home/apt,5.075173815233827,159.0
178,5.0,1,1,3,1.0,1.0,26,Entire home/apt,3.828641396489095,45.0
295,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.110873864173311,60.0
160,5.0,1,1,2,1.5,1.0,26,Private room,4.605170185988092,99.0
75,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.795790545596741,120.0
70,5.0,1,1,6,2.0,2.0,26,Entire home/apt,4.897839799950911,133.0
32,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.61512051684126,100.0
66,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.912654885736052,135.0
19,5.0,1,1,6,2.0,2.0,26,Entire home/apt,4.709530201312334,110.0
86,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.77912349311153,118.0
30,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.61512051684126,100.0
7,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
26,4.5,1,1,3,1.0,1.0,26,Entire home/apt,4.709530201312334,110.0
118,4.5,1,1,6,1.0,1.0,26,Private room,4.59511985013459,98.0
258,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.605170185988092,99.0
59,5.0,1,1,1,1.0,1.0,26,Private room,3.7612001156935615,42.0
133,5.0,1,1,4,1.0,1.0,11,Entire home/apt,4.564348191467836,95.0
40,5.0,1,1,5,1.0,2.0,26,Entire home/apt,4.836281906951478,125.0
219,4.5,1,1,6,1.0,2.0,26,Entire home/apt,4.564348191467836,95.0
122,5.0,1,1,2,1.0,1.0,26,Entire home/apt,3.951243718581428,51.0
4,3.5,1,1,4,1.0,1.0,26,Entire home/apt,4.204692619390966,66.0
42,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.262679877041316,70.0
136,5.0,1,1,2,1.0,0.0,26,Entire home/apt,4.61512051684126,100.0
57,4.5,1,1,5,1.0,2.0,26,Entire home/apt,4.709530201312334,110.0
176,4.5,1,1,6,1.0,3.0,26,Entire home/apt,4.605170185988092,99.0
